日期,省,省确诊,省治愈,省死亡,市,确诊,治愈,死亡,,确诊,治愈,死亡,,确诊,治愈,死亡,,确诊,治愈,死亡
2020/1/24,湖北省,549,31,24,武汉,495,31,23,湖北省除武汉,54,0,1,中国,894,36,26,中国除湖北,345,5,2
2020/1/25,湖北省,730,32,39,武汉,572,32,38,湖北省除武汉,158,0,1,中国,1372,39,41,,642,7,2
2020/1/26,湖北省,1058,42,52,武汉,618,40,45,湖北省除武汉,440,2,7,中国,2066,49,56,,1008,7,4
2020/1/27,湖北省,1423,47,76,武汉,698,42,63,湖北省除武汉,725,5,13,中国,2844,55,81,,1421,8,5
2020/1/28,湖北省,2714,52,100,武汉,1590,47,85,湖北省除武汉,1124,5,15,中国,4629,71,106,,1915,19,6
2020/1/29,湖北省,3554,87,125,武汉,1905,54,104,湖北省除武汉,1649,33,21,中国,6086,118,132,,2532,31,7
2020/1/30,湖北省,4586,90,162,武汉,2261,54,129,湖北省除武汉,2325,36,33,中国,7830,135,170,,3244,45,8
2020/1/31,湖北省,5806,116,204,武汉,2639,75,159,湖北省除武汉,3167,41,45,中国,9810,185,213,,4004,69,9
2020/2/1,湖北省,7153,168,249,武汉,3215,106,192,湖北省除武汉,3938,62,57,中国,11890,272,259,,4737,104,10
2020/2/2,湖北省,9074,267,294,武汉,4109,175,224,湖北省除武汉,4965,92,70,中国,14489,418,304,,5415,151,10
2020/2/3,湖北省,11177,295,350,武汉,5142,228,265,湖北省除武汉,6035,67,85,中国,17335,513,361,,6158,218,11
2020/2/4,湖北省,13522,397,414,武汉,6384,306,313,湖北省除武汉,7138,91,101,中国,20523,714,426,,7001,317,12
2020/2/5,湖北省,16678,537,479,武汉,8351,374,362,湖北省除武汉,8327,163,117,中国,24430,972,493,,7752,435,14
2020/2/6,湖北省,19665,712,549,武汉,10117,455,414,湖北省除武汉,9548,257,135,中国,28129,1352,564,,8464,640,15
2020/2/7,湖北省,22112,856,618,武汉,11618,540,478,湖北省除武汉,10494,316,140,中国,31261,1730,637,,9149,874,19
2020/2/8,湖北省,24953,1215,699,武汉,13603,747,545,湖北省除武汉,11350,468,154,中国,34664,2364,724,,9711,1149,25
2020/2/9,湖北省,27100,1480,780,武汉,14982,878,608,湖北省除武汉,12118,602,172,中国,37288,2898,813,,10188,1418,33
2020/2/10,湖北省,29631,1828,871,武汉,16902,1046,681,湖北省除武汉,12729,782,190,中国,40261,3490,909,,10630,1662,38
2020/2/11,湖北省,31728,2277,974,武汉,18454,1242,748,湖北省除武汉,13274,1035,226,中国,42744,4255,1017,,11016,1978,43
2020/2/12,湖北省,33366,2668,1068,武汉,19558,1379,820,湖北省除武汉,13808,1289,248,中国,44763,5034,1115,,11397,2366,47
2020/2/13,湖北省,48206,3457,1310,武汉,32994,1923,1036,湖北省除武汉,15212,1534,274,中国,59901,6175,1368,,11695,2718,58
2020/2/14,湖北省,51986,3900,1318,武汉,35991,2023,1016,湖北省除武汉,15995,1877,302,中国,63946,7076,1382,,11960,3176,64
2020/2/15,湖北省,54406,4817,1457,武汉,37914,2535,1123,湖北省除武汉,16492,2282,334,中国,66580,8483,1524,,12174,3666,67
2020/2/16,湖北省,56249,5666,1596,武汉,39462,2925,1233,湖北省除武汉,16787,2741,363,中国,68595,9746,1667,,12346,4080,71
2020/2/17,湖北省,58182,6693,1696,武汉,41152,3507,1309,湖北省除武汉,17030,3186,387,中国,70641,11272,1772,,12459,4579,76
2020/2/18,湖北省,59989,7943,1789,武汉,42752,4253,1381,湖北省除武汉,17237,3690,408,中国,72531,12957,1871,,12542,5014,82
2020/2/19,湖北省,61682,9308,1921,武汉,44412,5038,1497,湖北省除武汉,17270,4270,424,中国,74282,14884,2009,,12600,5576,88
2020/2/20,湖北省,62031,10504,2029,武汉,45027,5581,1585,湖北省除武汉,17004,4923,444,中国,74680,16695,2122,,12649,6191,93
2020/2/21,湖北省,62662,11881,2144,武汉,45346,6281,1684,湖北省除武汉,17316,5600,460,中国,75571,18678,2239,,12909,6797,95
